Date,Open,High,Low,Close,Adj Close,Volume
2004-02-13,36.750000,37.750000,36.450001,37.674999,25.904594,6696864
2004-02-16,37.875000,38.474998,37.325001,37.912498,26.067900,13402768
2004-02-17,38.112499,39.000000,37.250000,38.674999,26.592169,10185928
2004-02-18,39.000000,39.724998,37.912498,38.169998,26.244940,9021536
2004-02-19,38.375000,38.375000,34.875000,36.150002,24.856031,12453816
2004-02-20,36.250000,37.112499,35.437500,36.625000,25.182623,9616232
2004-02-23,36.875000,36.875000,34.432499,34.882500,23.984514,7495048
2004-02-24,34.387501,35.049999,32.125000,34.320000,23.597757,12871472
2004-02-25,34.337502,35.162498,33.825001,34.099998,23.446487,8558816
2004-02-26,34.375000,35.000000,32.887501,33.432499,22.987518,7943664
2004-02-27,34.220001,36.812500,33.750000,36.137501,24.847429,8163152
2004-03-01,36.224998,36.607498,35.250000,36.012501,24.761475,8711736
2004-03-02,36.224998,36.607498,35.250000,36.012501,24.761475,0
2004-03-03,36.250000,37.299999,35.757500,36.724998,25.251377,10692720
2004-03-04,36.437500,36.500000,35.549999,36.000000,24.752884,9115768
2004-03-05,36.250000,36.362499,35.549999,36.132500,24.843985,6515920
2004-03-08,36.237499,36.474998,35.000000,35.137501,24.159847,7021328
2004-03-09,35.032501,35.032501,33.750000,34.812500,23.936392,6990408
2004-03-10,34.500000,34.750000,34.145000,34.500000,23.721512,6710464
2004-03-11,34.799999,35.525002,33.700001,33.900002,23.308969,11856512
2004-03-12,34.125000,35.099998,33.262501,34.700001,23.859034,7351264
2004-03-15,35.250000,36.099998,33.645000,33.794998,23.236776,6058392
2004-03-16,33.750000,34.500000,33.400002,33.750000,23.205833,7790312
2004-03-17,34.087502,34.244999,33.032501,33.395000,22.961746,7262920
2004-03-18,33.625000,33.812500,32.662498,32.887501,22.612793,6884552
2004-03-19,32.750000,33.750000,32.187500,33.470001,23.013311,6355424
2004-03-22,33.375000,33.382500,30.407499,30.807501,21.182623,8770096
2004-03-23,30.462500,30.875000,29.195000,30.570000,21.019333,9330616
2004-03-24,30.775000,30.775000,29.270000,29.625000,20.369560,11806976
2004-03-25,29.987499,33.750000,29.750000,31.957500,21.973343,9464960
2004-03-26,32.262501,33.862499,32.250000,33.450001,22.999557,8704536
2004-03-29,33.375000,33.687500,32.195000,32.707500,22.489031,3018144
2004-03-30,32.887501,33.112499,32.207500,32.462502,22.320574,3781464
2004-03-31,32.500000,32.599998,30.375000,30.962500,21.289207,10226128
2004-04-01,31.000000,31.987499,31.000000,31.719999,21.810049,6173448
2004-04-02,31.975000,32.000000,30.799999,31.674999,21.779100,6285064
2004-04-05,32.125000,33.375000,31.837500,33.162498,22.801882,5058104
2004-04-06,33.750000,35.437500,33.525002,34.237499,23.541023,17381608
2004-04-07,34.500000,35.182499,34.312500,34.820000,23.941530,3821896
2004-04-08,34.375000,35.250000,34.375000,34.775002,23.910603,3296520
2004-04-09,34.375000,35.250000,34.375000,34.775002,23.910603,0
2004-04-12,34.049999,35.000000,32.750000,33.662498,23.145666,4065992
2004-04-13,34.437500,36.250000,34.312500,36.000000,24.752884,10848192
2004-04-14,34.437500,36.250000,34.312500,36.000000,24.752884,0
